"stop_id","stop_name","stop_lon","stop_lat"
"80007169","Sarnow (Prignitz), Sarnow",12.22987,53.11728
"80007168","Bölzke, Bölzke",12.26961,53.10739
"80004621","Anklam, Anklam",13.70183,53.8561
"80004015","Holthusen (b Schwerin), Holthusen",11.36481,53.55583
"80004750","Plüschow, Plüschow",11.28585,53.83706
"80007030","Samtens, Samtens",13.29018,54.35412
"80007057","Sülstorf, Sülstorf",11.38804,53.514
"80007025","Rastow, Rastow",11.43086,53.45816
"80006715","Buddenhagen (Wolgast), Buddenhagen",13.68228,54.00156
"80001757","Fürstenberg(Havel), Fürstenberg (Havel)",13.13927,53.18678
"80006921","Lüblow (Meckl), Lüblow (Meckl)",11.46434,53.41104
"80006813","Groß Pankow, Groß Pankow",12.04742,53.12302
"80006802","Groß Laasch, Groß Laasch",11.53414,53.34648
"80007167","Blumenthal (Mark), Blumenthal (Mark)",12.33409,53.07652
"80006778","Fretzdorf, Fretzdorf",12.53988,53.0693
"80007006","Rheinsberg (Mark), Rheinsberg (Mark)",12.9,53.09286
"80006791","Groß Brütz, Groß Brütz",11.25143,53.65309
"80006847","Hohendorf (Wolgast), Hohendorf",13.73027,54.02727
"80004014","Alt Zachun, Bahnhof Zachun",11.32451,53.50265
"80001801","Ludwigslust, Ludwigslust",11.49449,53.33467
"80006816","Grabow (Meckl), Grabow (Meckl)",11.5642,53.2829
"80006763","Ducherow, Ducherow",13.79602,53.76614
"80007166","Rosenwinkel, Rosenwinkel",12.3432,53.03819
"80001765","Grevesmühlen, Grevesmühlen",11.18472,53.85747
"80007085","Teschenhagen (Rügen), Teschenhagen",13.37423,54.38937
"80004656","Wolgast, Wolgast",13.76909,54.04395
"80002456","Karstädt (Prignitz), Karstädt",11.73847,53.16068
"80006857","Jasnitz (b Schwerin), Jasnitz",11.37405,53.38639
"80007032","Strasburg (Uckerm), Strasburg (Uckerm)",13.74527,53.5151
"80004655","Wolgast, Hafenbahnhof",13.77996,54.05185
"80006923","Lützow, Lützow",11.18043,53.65597
"80006903","Lauterbach (Rügen), Mole",13.50312,54.34222
"80006993","Putbus, Putbus",13.48097,54.35677
"80021128","Lauterbach (Rügen), Lauterbach (Rügen)",13.50075,54.34522
"80013074","Neuendorf(Hiddensee), Neuendorf (Hiddensee)",13.09221,54.5246
"80007123","Wolgast, Wolgaster Fähre",13.79062,54.05638
"80007165","Wutike, Wutike",12.35285,53.00431
"80007071","Strohkirchen (b Ludwigslust), Strohkirchen",11.31847,53.39838
"80007474","Schaprode, Schaprode",13.16529,54.51297
"80006950","Netzeband, Netzeband",12.6281,52.99556
"80006711","Beuchow, Beuchow",13.50245,54.36212
"80004013","Kirch Jesar, Kirch-Jesar",11.26332,53.4486
"80001716","Bergen (Rügen), Bergen auf Rügen",13.41782,54.4205
"80006789","Gadebusch, Gadebusch",11.12148,53.70407
"80006973","Peenemünde, Peenemünde",13.77309,54.13876
"80006972","Perleberg, Perleberg",11.85233,53.07125
"80006986","Posewald, Posewald",13.52841,54.36811
"80006767","Dannenwalde (Gransee), Dannenwalde (Gransee)",13.1808,53.07975
"80006779","Ferdinandshof (Vorpomm), Ferdinandshof",13.88191,53.66009
"80006703","Mölschow, Bannemin-Mölschow",13.83657,54.0714
"80007048","Nistelitz, Seelvitz",13.56128,54.36761
"80006877","Karlshagen, Karlshagen",13.83143,54.11676
"80013075","Vitte, Vitte",13.10939,54.56887
"80004749","Grieben (Meckl), Grieben (Meckl)",11.06856,53.85123
"80006850","Holdorf (b Gadebusch), Holdorf (Meckl)",11.0657,53.7348
"80007084","Trassenheide, Trassenheide",13.86851,54.08138
"80004538","Hagenow, Bahnhof Hagenow Land",11.21569,53.41358
"80007088","Trassenheide, Trassenmoor",13.86781,54.09104
"80006996","Rehna, Rehna",11.04975,53.77426
"80007047","Serams, Serams",13.58213,54.37798
"80006719","Blumenhagen (Kr VG), Blumenhagen",13.87204,53.52833
"80007118","Walsleben (b Neuruppin), Walsleben",12.6791,52.94708
"80013076","Kloster (Hiddensee), Kloster (Hiddensee)",13.11232,54.58467
"80007164","Kyritz (Prignitz), Kyritz",12.39095,52.94249
"80001777","Hagenow, Hagenow Stadt",11.18499,53.42943
"80007133","Zinnowitz, Zinnowitz",13.90336,54.07556
"80006860","Lancken-Granitz, Jagdschloß",13.62001,54.37634
"80006859","Jatznick, Jatznick",13.93767,53.60306
"80006716","Binz (Ostseebad), Binz LB",13.60994,54.39279
"80006794","Garftitz, Garftitz",13.63785,54.37771
"80001720","Binz (Ostseebad), Ostseebad Binz",13.6005,54.40482
"80007128","Weisen, Weisen",11.7875,53.02555
"80006907","Lindow (Mark), Lindow (Mark)",12.98142,52.96158
"80006989","Prora, Prora Ost",13.57451,54.43006
"80006962","Neuruppin, Rheinsberger Tor",12.81082,52.92958
"80006961","Neuruppin, Westbahnhof",12.79393,52.92622
"80006815","Gransee, Gransee",13.16712,53.00108
"80006977","Middelhagen (Rügen), Philippshagen",13.70704,54.34766
"80006988","Prora, Prora",13.56406,54.44499
"80007143","Zempin, Zempin",13.95944,54.06598
"80020414","Sellin (Rügen), Westbahnhof",13.68091,54.37589
"80006913","Lietzow (Rügen), Lietzow (Rügen)",13.51,54.48097
"80007116","Bad Wilsnack, Bad Wilsnack",11.94937,52.96025
"80006701","Baabe, Baabe",13.70473,54.36231
"80007028","Sandförde, Sandförde",13.97127,53.56398
"80007053","Sellin (Rügen), Ostbahnhof",13.69766,54.37135
"80006956","Nechlin, Nechlin",13.90288,53.44093
"80004728","Templin, Templin",13.49148,53.11235
"80007090","Torgelow (Vorpomm), Torgelow",14.00876,53.63462
"80006808","Göhren (Rügen), Göhren (Rügen)",13.7377,54.34596
"80007095","Templin, Stadtbahnhof",13.50924,53.11713
"80001850","Wittenberge, Wittenberge",11.76287,53.00311
"80007163","Wusterhausen (Dosse), Wusterhausen (Dosse)",12.4567,52.88835
"80006886","Koserow, Koserow",13.99927,54.04534
"80006836","Hammelspring, Hammelspring",13.43574,53.07023
"80021706","Ueckermünde, Stadthafen",14.05223,53.7362
"80007100","Ueckermünde, Ueckermünde",14.05408,53.73392
"80004620","Pasewalk, Pasewalk",13.98887,53.51535
"80006889","Kölpinsee, Kölpinsee",14.02291,54.03529
"80007103","Vogelsang (b Gransee), Vogelsang (Gransee)",13.38569,53.03771
"80006707","Breddin, Breddin",12.22421,52.88605
"80001833","Schönberg (Meckl), Schönberg (Meckl)",10.92787,53.85338
"80001764","Glöwen, Glöwen",12.08393,52.90351
"80020105","Stubbenfelde, Stubbenfelde",14.03352,54.02807
"80007099","Ückeritz (Usedom), Ückeritz",14.04981,54.01392
"80006771","Eggesin, Eggesin",14.07304,53.68183
"80006840","Herzberg (Mark), Herzberg (Mark)",12.97839,52.90536
"80006984","Pasewalk, Pasewalk Ost",14.00932,53.50957
"80007138","Zehdenick (Mark), Zehdenick-Neuhof",13.34578,53.0057
"80004619","Prenzlau, Prenzlau",13.86653,53.32161
"80021842","Pudagla, Neu Pudagla",14.0652,54.00034
"80004012","Pritzier (b Hagenow), Pritzier",11.08356,53.36497
"80007038","Pudagla, Schmollensee",14.07725,53.98227
"80001814","Neustadt (Dosse), Neustadt (Dosse)",12.45073,52.85271
"80007137","Zehdenick (Mark), Zehdenick (Mark)",13.31748,52.97939
"80007029","Sagard, Sagard",13.56496,54.52438
"80005910","Geestgottberg, Geestgottberg",11.73723,52.95575
"80006902","Sassnitz, Lancken",13.60781,54.51798
"80007004","Radensleben, Wustrau-Radensleben",12.89727,52.85726
"80002003","Lübeck, Travemünde Strand",10.87561,53.96479
"80006721","Bansin, Bansin Seebad",14.12934,53.96435
"80006709","Bergsdorf (Oberhavel), Bergsdorf",13.2608,52.93657
"80002002","Lübeck, Travemünde Hafen",10.86558,53.95876
"80004580","Sassnitz, Sassnitz",13.63791,54.51628
"80001990","Lübeck, Travemünde Skandinavienkai",10.85403,53.95078
"80020104","Heringsdorf (Seebad), Neuhof",14.14826,53.95277
"80006919","Löwenberg (Mark), Löwenberg (Mark)",13.19005,52.8968
"80007140","Zerrenthin, Zerrenthin",14.09789,53.49939
"80004747","Lüdersdorf (Meckl), Lüdersdorf (Meckl)",10.81514,53.83292
"80006842","Heringsdorf (Seebad), Seebad Heringsdorf",14.16959,53.94984
"80020457","Lübeck, Kücknitz",10.81889,53.92495
"80020103","Ahlbeck (Seebad), Ostseetherme",14.17729,53.94442
"80007045","Seehausen (Uckermark), Seehausen (Uckermark)",13.88089,53.22506
"80021770","Burg auf Fehmarn, Fehmarn-Burg",11.18898,54.44359
"80006688","Ahlbeck (Seebad), Seebad Ahlbeck",14.18786,53.93548
"80001920","Großenbrode, Großenbrode",11.08078,54.36631
"80004011","Brahlstorf (b Hagenow), Brahlstorf",10.95199,53.36442
"80006257","Seehausen (Altm), Seehausen (Altm)",11.74349,52.88577
"80020046","Ahlbeck (Seebad), Bahnhof Ahlbeck Grenze",14.21555,53.92197
"80006819","Grüneberg, Grüneberg",13.21302,52.8678
"80000141","Puttgarden, Bahnhof Puttgarden",11.22671,54.50037
"80007109","Warnitz (Uckermark), Warnitz (Uckermark)",13.87668,53.18203
"80020810","Puttgarden, Puttgarden (MS)",11.2279,54.50205
"80004746","Herrnburg, Bahnhof Herrnburg",10.76001,53.83771
"80007200","Swinoujscie, Swinoujscie Centrum",14.236,53.913
"80001690","Nykobing, Nykobing F st",11.87785,54.7668
